"","Cond.","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"69","Cond165","0.9","0","0","0","10","80","1.5","CSMMA","0","0.3","0","0.1","-0.000754219118478765","-0.0113467827130805","0.00102485216130966","-0.000135289531027448","0.000172038645745004","-0.000754219118478765","-0.0189113045218009","0.00102485216130966","-0.000135289531027448","0.00172038645744998","0.0392090713807293","0.0381290946470247","0.0393467018569732","0.0409140979607344","0.0402639275803273","0.0387486914684569","0.0398780702067808","0.0422098030593344","0.0269033711447804","0.0162499746497547","0.0135047748535334","0.031668915195039","0.949418604651163","0.944767441860465","0.94593023255814","0.96046511627907","1",NA,"0.0505813953488372","0.999418604651163",NA,NA,"0.0540697674418605","0.701162790697674",NA,NA,"0","1","0.344"
"70","Cond166","0.9","0","0","0.3","10","80","1.5","CSMMA","0","0.3","0.3","0.1","0.000126821706772339","-0.00506821184779568","-0.00392573017687161","-0.000160959629614511","0.000458327977830607","0.000126821706772339","-0.00844701974632619","-0.0130857672562386","-0.000160959629614511","0.00458327977830603","0.0388821814078664","0.0358069498935418","0.036135868286275","0.0410511728658728","0.0402651075365021","0.0374635481038117","0.0370108528501698","0.0404914256126716","0.035567092137375","0.0462647116047344","0.024213741232479","-0.0136353534899005","0.950300382304752","0.955215729109776","0.949208083014746","0.944838885854724","1",NA,"0.0496996176952485","1",NA,"1",NA,"0.72200983069361",NA,NA,"0.0393227744401966","1","0.3662"
"71","Cond167","0.9","0","0.6","0","10","80","1.5","CSMMA","0.3","0.3","0","0.1","-0.00785171926081102","-0.00646597739254017","0.000767189940125348","0.000245693272170797","-0.000833883782111028","-0.0130861987680185","-0.010776628987567","0.000767189940125348","0.000245693272170797","-0.00833883782111022","0.0363555594667369","0.0405681253099198","0.0415562722554689","0.043911993700706","0.0368592681158936","0.041437677111954","0.0424508606865215","0.0420313649498498","0.0138550652649876","0.0214343599905408","0.0215271578151447","-0.0428272230970467","0.939393939393939","0.951515151515152","0.944903581267218","0.944903581267218","1","1",NA,"1",NA,NA,"0.0550964187327824","0.677685950413223",NA,NA,"0.0479338842975207","1","0.363"
"72","Cond168","0.9","0","0.6","0.3","10","80","1.5","CSMMA","0.3","0.3","0.3","0.1","-0.00739320092125208","-0.00499036266208307","-0.000523848951503928","-0.00262849603526662","-0.00177430468950418","-0.0123220015354201","-0.0083172711034718","-0.00174616317167975","-0.0146027557514811","-0.0177430468950418","0.0357646221490857","0.0385090599055578","0.0372758993928975","0.0380724068287619","0.0371714693060582","0.0382990938288352","0.0378097066224316","0.037639892381216","0.0393362790499504","-0.00545238126398118","0.0143204386273197","-0.0113603127191614","0.951663201663202","0.937629937629938","0.942307692307692","0.946985446985447","0.998960498960499","1",NA,"1",NA,"1",NA,"0.75",NA,"1",NA,"1","0.3848"
"73","Cond169","0.45","0","0","0","10","120","1.5","CSMMA","0","0.3","0","0.1","-0.000105956086967484","-0.00296080809393393","0.00028820918236399","-0.000123151809007995","-0.00120943810344661","-0.000105956086967484","-0.00493468015655659","0.00028820918236399","-0.000123151809007995","-0.0120943810344661","0.0337357948437851","0.0318060433757065","0.0324476168306366","0.0358666061345087","0.0338244378253419","0.0323055564765865","0.0333128887564998","0.0349369092004792","0.00262756463771852","0.0157049745225938","0.0266667327335468","-0.0259209619818208","0.943469785575049","0.946393762183236","0.950292397660819","0.947368421052632","1",NA,"0.0565302144249513","1",NA,NA,"0.0497076023391813","0.79093567251462",NA,NA,"0.000487329434697856","1","0.4104"
"74","Cond170","0.45","0","0","0.3","10","120","1.5","CSMMA","0","0.3","0.3","0.1","0.000427046990775622","-0.00580810040944929","-0.00293058362313109","-0.000108789453841405","-0.00076345007350912","0.000427046990775622","-0.00968016734908224","-0.00976861207710363","-0.000108789453841405","-0.00763450073509114","0.0333311814160874","0.0317845418471727","0.0303432187798115","0.0343524358191063","0.0335734314210456","0.0314239070513609","0.0308275810814196","0.0336558116588586","0.00726796935080345","-0.0113462323146207","0.0159627857915431","-0.0202787413363074","0.9449378330373","0.934280639431616","0.933836589698046","0.946269982238011","0.99955595026643",NA,"0.0550621669626998","1",NA,"1",NA,"0.80461811722913",NA,NA,"0.0501776198934281","1","0.4504"
"75","Cond171","0.45","0","0.6","0","10","120","1.5","CSMMA","0.3","0.3","0","0.1","-0.00238544333617153","-0.0036534483269256","0.0013149313542671","0.000651157674968608","-0.00058078862493429","-0.0039757388936192","-0.006089080544876","0.0013149313542671","0.000651157674968608","-0.00580788624934284","0.0308033473242388","0.0346875084520239","0.0356158248349575","0.0372043417531687","0.0310414735718157","0.0343394578649749","0.035734888249926","0.0347869033235543","0.00773053152536777","-0.0100338883529317","0.00334299192901648","-0.0649773202722638","0.945205479452055","0.937899543378995","0.944292237442922","0.941095890410959","1","1",NA,"1",NA,NA,"0.0557077625570776","0.804109589041096",NA,NA,"0.0525114155251142","1","0.438"
"76","Cond172","0.45","0","0.6","0.3","10","120","1.5","CSMMA","0.3","0.3","0.3","0.1","-0.00626263073907906","-0.00433813859572673","9.10660936832337e-05","-0.00200044701444206","-0.000242839064110751","-0.0104377178984651","-0.0072302309928779","0.000303553645610855","-0.011113594524678","-0.00242839064110753","0.0307006262694406","0.0339287309253592","0.032304856473534","0.0342616265303977","0.0312764194518971","0.0323113764027784","0.0320037062109437","0.0316494036390663","0.0187550956584103","-0.0476691723642378","-0.00932213590971875","-0.0762433998576755","0.947602131438721","0.927619893428064","0.934724689165186","0.930728241563055","0.99955595026643","1",NA,"1",NA,"1",NA,"0.846358792184725",NA,"1",NA,"1","0.4504"
"77","Cond173","0.9","0","0","0","10","120","1.5","CSMMA","0","0.3","0","0.1","0.000527906326855076","-0.00504296571853563","0.000850976509219702","-9.89499571266738e-05","-0.00195159876632044","0.000527906326855076","-0.00840494286422614","0.000850976509219702","-9.89499571266738e-05","-0.0195159876632044","0.0331423281238243","0.0330564921582534","0.0325874651546616","0.0367728582877361","0.0335141462894281","0.0322606770158985","0.0335304743329578","0.0352825398011227","0.0112188306209076","-0.0240743978080034","0.0289377886196625","-0.040527676009086","0.941489361702128","0.937137330754352","0.951644100580271","0.940522243713733","1",NA,"0.0585106382978723","1",NA,NA,"0.0483558994197292","0.777562862669246",NA,NA,"0.000483558994197292","1","0.4136"
"78","Cond174","0.9","0","0","0.3","10","120","1.5","CSMMA","0","0.3","0.3","0.1","0.000433641074599781","-0.00458002018456377","-0.00248268057731688","-2.73912218986137e-05","-0.000997732631227652","0.000433641074599781","-0.00763336697427304","-0.00827560192438959","-2.73912218986137e-05","-0.00997732631227655","0.0321923666266154","0.0317255617889264","0.030873281891782","0.0346411558336655","0.0335431036285623","0.0312718716756121","0.0312367220908518","0.0334110848515153","0.0419583007864385","-0.014300459557903","0.0117719975590454","-0.0355089474513075","0.950512706197058","0.931341952741864","0.941596076683014","0.939812750780205","1",NA,"0.0494872938029425","1",NA,"1",NA,"0.825679893000446",NA,NA,"0.0423539901917075","1","0.4486"
"79","Cond175","0.9","0","0.6","0","10","120","1.5","CSMMA","0.3","0.3","0","0.1","-0.00704319215477554","-0.00613108529387726","0.0021983827063149","0.00113731381782708","0.000127441454232234","-0.0117386535912926","-0.0102184754897955","0.0021983827063149","0.00113731381782708","0.00127441454232227","0.0310261070981042","0.0345224631015505","0.0344908942896619","0.0354285769589986","0.0310143644475909","0.034585272033923","0.0358605427824059","0.0352438638171976","-0.000378476438442139","0.00181936416841868","0.0397104372313867","-0.00521367657568733","0.94675615212528","0.94496644295302","0.941834451901566","0.943176733780761","1","1",NA,"1",NA,NA,"0.058165548098434","0.808948545861297",NA,NA,"0.051006711409396","1","0.447"
"80","Cond176","0.9","0","0.6","0.3","10","120","1.5","CSMMA","0.3","0.3","0.3","0.1","-0.00854233356471683","-0.00203419392030777","0.000132207816645295","-0.00251362449189289","0.000116289064004365","-0.0142372226078613","-0.00339032320051299","0.000440692722151007","-0.013964580510516","0.00116289064004363","0.0304709590142865","0.0327340465101582","0.0320096744996647","0.0338494153025612","0.0309586628573687","0.0324349169861211","0.0320810621413735","0.031785873102605","0.016005529817869","-0.00913817740022848","0.00223018955439731","-0.0609624178589621","0.947525597269625","0.943686006825939","0.944539249146758","0.934726962457338","0.999146757679181","1",NA,"1",NA,"1",NA,"0.858361774744027",NA,"1",NA,"1","0.4688"
"81","Cond177","0.45","0","0","0","30","80","1.5","CSMMA","0","0.3","0","0.1","-0.000646853641509403","-0.00519361623286842","0.000249300536666807","-7.86686296903905e-05","-0.00101636637109171","-0.000646853641509403","-0.00865602705478067","0.000249300536666807","-7.86686296903905e-05","-0.0101636637109172","0.0218334163093728","0.0206406832290456","0.0214952952216788","0.0212653446997751","0.022726987906885","0.0209314758926889","0.0223221384749856","0.0214714900916893","0.0409267878581454","0.0140883254888621","0.0384662431838995","0.00969395957717382","0.950474898236092","0.94640434192673","0.956919945725916","0.94708276797829","1",NA,"0.0495251017639077","1",NA,NA,"0.0430800542740841","0.988127544097693",NA,NA,"0","1","0.5896"
"82","Cond178","0.45","0","0","0.3","30","80","1.5","CSMMA","0","0.3","0.3","0.1","0.00128641258499261","-0.00532103421904094","-0.00188747540933756","0.000292565164705053","-0.000815945816443757","0.00128641258499261","-0.00886839036506826","-0.00629158469779179","0.000292565164705053","-0.00815945816443758","0.0232661556547196","0.0198677002245923","0.0204443071466175","0.0207990149092638","0.0225633378405088","0.0203169580852637","0.0206477029385238","0.0207292329474243","-0.0302077328391044","0.0226124742971157","0.00994877402533677","-0.00335506090764212","0.934564301911241","0.951733074182054","0.947197926789764","0.95367670877875","1",NA,"0.0654356980887593","1",NA,"1",NA,"0.992873339812115",NA,NA,"0.0641399416909621","1","0.6174"
"83","Cond179","0.45","0","0.6","0","30","80","1.5","CSMMA","0.3","0.3","0","0.1","-0.00611690627166525","-0.00574403653810718","0.00161746539948349","0.000870216011768508","-0.000732961156274203","-0.0101948437861088","-0.00957339423017863","0.00161746539948349","0.000870216011768508","-0.00732961156274206","0.0207720313679656","0.0221263390076136","0.0233370471714329","0.0213667328464751","0.0207232816711811","0.0223599573219056","0.0236614664942944","0.0214041554422349","-0.00234689115960049","0.0105583808605492","0.0139014726446891","0.0017514421146519","0.94384236453202","0.944170771756979","0.951067323481117","0.949096880131363","1","1",NA,"1",NA,NA,"0.0489326765188834","0.991133004926108",NA,NA,"0.0486042692939245","1","0.609"
"84","Cond180","0.45","0","0.6","0.3","30","80","1.5","CSMMA","0.3","0.3","0.3","0.1","-0.00477883778373051","-0.00480656715238538","-0.000826530734637502","-0.00195924946133078","-0.000495273749157012","-0.00796472963955094","-0.00801094525397561","-0.0027551024487917","-0.0108847192296154","-0.00495273749157005","0.0205239870108023","0.020425541692707","0.0208279815592782","0.0197268158454122","0.0208652861898796","0.020992195096942","0.0213492523707701","0.0192320465181455","0.0166292825510791","0.0277423929685685","0.025027428126357","-0.0250810536857035","0.94688363524716","0.950875038378876","0.956094565551121","0.944427387166104","0.999692968989868","1",NA,"1",NA,"1",NA,"0.996008596868284",NA,"1",NA,"1","0.6514"
"85","Cond181","0.9","0","0","0","30","80","1.5","CSMMA","0","0.3","0","0.1","0.000239377963814948","-0.00432626314706892","-0.000644095456948245","-5.03020481070574e-05","-0.000516435788666858","0.000239377963814948","-0.00721043857844827","-0.000644095456948245","-5.03020481070574e-05","-0.00516435788666864","0.0225680899074905","0.0208329529586623","0.022049438266032","0.021490261671842","0.0227679425201511","0.0208488772766065","0.0224659859800825","0.0213682212466452","0.00885553954631225","0.00076438121738276","0.0188915340619905","-0.00567887106542839","0.946487196323047","0.946487196323047","0.953381483913329","0.949770190413657","1",NA,"0.0535128036769534","1",NA,NA,"0.046618516086671","0.989822718319107",NA,NA,"0.000328299409061064","1","0.6092"
