,Cond.,Rho12,a.p.cs,b.s,cp.p.cs,K,beta,postVar,Method,a.para,cp.para,b.para,beta.para,a.bias,cp.bias,b.bias,ab.bias,beta.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta.Ebias,a.empSE,cp.empSE,b.empSE,beta.empSE,a.meanSE,cp.meanSE,b.meanSE,beta.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta.power,beta.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
294,Cond102,0.45,0.6,0,0.6,5,0,1.5,2,0.300207663,0.299284569,0.000134175,9.93E-05,-0.007745533,-0.005072201,-0.000465282,-0.000655857,0.001844615,-0.012900293,-0.008473877,-0.000465282,-0.000655857,0.001844615,0.063285726,0.084440886,0.054417817,0.10531964,0.0606444,0.071897976,0.060931134,0.080627406,-0.041736524,-0.14854072,0.119690896,-0.23445042,0.917539267,0.905104712,0.963350785,0.908376963,1,0.990837696,NA,0.943062827,NA,NA,0.036649215,NA,0.091623037,NA,0.022251309,1,0.3056
295,Cond103,0.45,0.6,0.3,0,5,0,1.5,2,0.299344428,0.056672191,0.110155432,0.000357402,-0.009413221,0.002159929,0.001457168,0.00012452,-0.002163494,-0.01572306,0.002159929,0.013228292,0.001888136,-0.002163494,0.064132339,0.085614372,0.05628589,0.103447624,0.062332441,0.075909056,0.061046975,0.085686257,-0.028065384,-0.11336083,0.084587543,-0.171694296,0.917123705,0.913467398,0.957952468,0.902498477,0.998781231,0.987202925,NA,NA,0.171846435,0.463741621,NA,NA,0.098720293,0.35709933,NA,1,0.3282
296,Cond104,0.45,0.6,0.3,0.6,5,0,1.5,2,0.2995587,0.357406208,0.110197043,-1.03E-05,-0.009179708,-0.008622963,1.55E-05,-0.001405769,0.003467406,-0.015322051,-0.012063253,0.000140499,-0.021292762,0.003467406,0.063158985,0.082191612,0.054858328,0.105739864,0.06027981,0.068690855,0.058993612,0.077400036,-0.04558616,-0.16425954,0.075381147,-0.268014606,0.917654398,0.888958203,0.957579538,0.90205864,0.996880848,0.98128509,NA,0.975670618,NA,0.474734872,NA,NA,0.09794136,0.436057392,NA,1,0.3206
297,Cond105,0.9,0,0,0,5,0,1.5,2,-6.17E-07,-0.000413161,-8.19E-05,0.000212848,0.003858132,-0.002944963,0.000847956,-5.76E-05,0.002206532,0.003858132,-0.002944963,0.000847956,-5.76E-05,0.002206532,0.054610993,0.067791523,0.051208602,0.088081628,0.058002776,0.066057708,0.057626986,0.078460824,0.062108063,-0.025575684,0.125338008,-0.109226004,0.952741021,0.949905482,0.963137996,0.945179584,1,NA,0.047258979,NA,0.051039698,NA,0.037807183,NA,0.054820416,NA,0,1,0.2116
298,Cond106,0.9,0,0,0.6,5,0,1.5,2,0.000504896,0.1390039,-0.000438488,-2.50E-05,0.005019385,-0.012252715,0.003316636,-7.39E-05,0.000649436,0.005019385,-0.044073278,0.003316636,-7.39E-05,0.000649436,0.056489932,0.066186718,0.052776164,0.089413029,0.058175671,0.065524891,0.056994315,0.077611882,0.029841411,-0.00999939,0.079925302,-0.131984645,0.943312666,0.946855624,0.960141718,0.945969885,1,NA,0.056687334,0.578387954,NA,NA,0.039858282,NA,0.054030115,NA,0,1,0.2258
299,Cond107,0.9,0,0.3,0,5,0,1.5,2,-0.000586129,0.000220145,0.069916406,0.000258423,0.00527793,-0.005400899,-0.001963413,0.000126421,0.002119542,0.00527793,-0.005400899,-0.0280823,0.000126421,0.002119542,0.056297421,0.069784402,0.051519176,0.092413649,0.058606133,0.065646852,0.058110275,0.078056992,0.041009194,-0.059290473,0.127934857,-0.155352127,0.948670944,0.940421632,0.966086159,0.942254812,1,NA,0.050412466,NA,0.059578368,0.210815765,NA,NA,0.057745188,NA,0.00091659,1,0.2182
300,Cond108,0.9,0,0.3,0.6,5,0,1.5,2,-0.000315642,0.138741383,0.072982988,-8.01E-06,0.001103986,0.000433224,0.000410071,-0.000259865,0.005624115,0.001103986,0.001561264,0.005618723,-0.000259865,0.005624115,0.055813475,0.065836577,0.05102218,0.082122768,0.058676343,0.065291634,0.057290454,0.077130112,0.051293493,-0.008277211,0.1228539,-0.060795023,0.946790541,0.94847973,0.966216216,0.943412162,1,NA,0.053209459,0.594594595,NA,0.249155405,NA,NA,0.056587838,NA,0.001689189,1,0.2368
301,Cond109,0.9,0.6,0,0,5,0,1.5,2,0.1393461,0.000232415,4.23E-05,0.000439951,-0.005934177,-0.006387887,-0.000422845,0.000205394,0.001649216,-0.021292944,-0.006387887,-0.000422845,0.000205394,0.001649216,0.052359587,0.068189151,0.053640555,0.086609641,0.058058266,0.065654394,0.058087387,0.076028086,0.108837358,-0.037172441,0.082900574,-0.122175254,0.957130359,0.94575678,0.950131234,0.948381452,1,0.658792651,NA,NA,0.05424322,NA,0.049868766,NA,0.050743657,NA,0.006124234,1,0.2286
302,Cond110,0.9,0.6,0,0.6,5,0,1.5,2,0.138382382,0.138807999,0.000273555,-9.58E-05,0.003270307,-0.007626489,0.001498972,0.000321027,0.003377266,0.011816198,-0.027471359,0.001498972,0.000321027,0.003377266,0.054476057,0.066542282,0.052077941,0.081748311,0.057867343,0.065996228,0.058473095,0.077778155,0.062252772,-0.008206122,0.122799659,-0.048565602,0.952667814,0.948364888,0.95697074,0.949225473,1,0.67555938,NA,0.58605852,NA,NA,0.04302926,NA,0.052495697,NA,0.010327022,1,0.2324
303,Cond111,0.9,0.6,0.3,0,5,0,1.5,2,0.138768206,0.030809859,0.067760306,0.000244788,-0.00053615,0.005606264,-0.00034178,-0.000106151,0.001002946,-0.001931819,0.005606264,-0.005043949,-0.005644549,0.001002946,0.05286643,0.065857225,0.053086818,0.08536175,0.057949889,0.065512551,0.057660558,0.077497113,0.096156656,-0.005233652,0.086155849,-0.092133034,0.968569065,0.947063689,0.961124897,0.945409429,0.996691481,0.650951199,NA,NA,0.083540116,0.218362283,NA,NA,0.054590571,0.051282051,NA,1,0.2418
304,Cond112,0.9,0.6,0.3,0.6,5,0,1.5,2,0.138446661,0.175589893,0.072134872,0.000282074,0.00101349,-0.00402693,0.001005967,0.000352355,0.002930662,0.003660218,-0.011466861,0.013945641,0.017640963,0.002930662,0.054261617,0.066541747,0.053136817,0.085027038,0.057446688,0.065156656,0.056993535,0.077091825,0.058698414,-0.020815378,0.072580893,-0.093325768,0.949387755,0.944489796,0.956734694,0.933061224,0.982040816,0.67755102,NA,0.759183673,NA,0.256326531,NA,NA,0.067755102,0.066938776,NA,1,0.245
305,Cond113,0.45,0,0,0,5,0.1,1.5,2,-0.000153051,0.001149464,0.000127784,0.100487503,0.000519713,-0.001167626,0.001751398,-0.000169877,-0.001428272,0.000519713,-0.001167626,0.001751398,-0.000169877,-0.014213426,0.066390184,0.077618795,0.054471663,0.098218793,0.065951624,0.071585252,0.058112423,0.084823773,-0.006605799,-0.077733011,0.066837699,-0.136379394,0.925336597,0.911872705,0.953488372,0.91370869,1,NA,0.073439412,NA,0.086903305,NA,0.046511628,0.327417381,NA,NA,0,1,0.3268
306,Cond114,0.45,0,0,0.6,5,0.1,1.5,2,-0.000508757,0.298915721,-0.000296641,0.099221983,0.000398934,-0.008927126,0.00311154,-0.000655496,-0.005715128,0.000398934,-0.014932513,0.00311154,-0.000655496,-0.057599415,0.066199894,0.075982304,0.053364556,0.097452903,0.064708066,0.067335165,0.057000395,0.080326917,-0.022535199,-0.113804654,0.068132097,-0.175736027,0.931680774,0.900846433,0.958887545,0.915961306,1,NA,0.070133011,0.955864571,NA,NA,0.039903265,0.345828295,NA,NA,0.000604595,1,0.3308
307,Cond115,0.45,0,0.3,0,5,0.1,1.5,2,0.000520664,0.000345655,0.110353471,0.099999691,0.00254813,0.002467917,-0.001418805,0.00037252,-0.004188718,0.00254813,0.002467917,-0.012856911,0.00037252,-0.041887311,0.068513099,0.078148603,0.052309824,0.114543114,0.065189456,0.071393882,0.057418318,0.086178176,-0.048511052,-0.08643431,0.097658409,-0.247635477,0.923704135,0.910891089,0.962725684,0.909143856,1,NA,0.076878276,NA,0.089108911,0.483401281,NA,0.305765871,NA,NA,0.00990099,1,0.3434
308,Cond116,0.45,0,0.3,0.6,5,0.1,1.5,2,0.000421937,0.300338413,0.110451457,0.099744939,0.004850837,-0.013426212,-0.000515105,-6.11E-05,6.26E-05,0.004850837,-0.022351805,-0.004663633,-6.11E-05,0.000627738,0.067720449,0.080166114,0.050718843,0.099799773,0.064099205,0.068403559,0.055972608,0.081706015,-0.053473414,-0.146727267,0.10358605,-0.181300597,0.909036505,0.89347696,0.957510473,0.910233393,1,NA,0.090365051,0.950329144,NA,0.500299222,NA,0.350089767,NA,NA,0.013165769,1,0.3342
309,Cond117,0.45,0.6,0,0,5,0.1,1.5,2,0.299713401,-0.002173118,0.000198263,0.100427839,-0.015908456,0.017923249,0.000578089,0.000253836,-0.00025024,-0.026539447,0.017923249,0.000578089,0.000253836,-0.002491736,0.064842769,0.083697474,0.055969671,0.103277723,0.06175897,0.076242388,0.0614234,0.085669409,-0.047558101,-0.089071816,0.097440795,-0.1704948,0.912871287,0.906930693,0.95709571,0.899669967,1,0.978217822,NA,NA,0.092409241,NA,0.04290429,0.319471947,NA,NA,0.025082508,1,0.303
