"","Cond.","Rho","a.ps","b.s","K","postVar","missingRate","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"99","Cond3","0.45","0.6","0","5","1","0.4","2","0.313324126771396","0.312661097955899","-0.000408119018931193","0.103109337504723","0.00426409788505713","-0.000254919357647039","0.00010046041113968","-0.00266913645865745","0.00483505444262015","0.00680461145618739","-0.000407660817597052","0.00010046041113968","-0.00266913645865745","0.0468924983869544","0.0821185480296467","0.0891043653528082","0.132912151919916","0.0879793884516783","0.0800549004773086","0.0861489671818823","0.126567601738548","0.0808489733618396","-0.025130102782541","-0.0331678269546509","-0.0477349143003195","-0.0810464270703025","0.924496644295302","0.937919463087248","0.939597315436242","0.926174496644295","1","0.922818791946309",NA,"0.912751677852349",NA,NA,"0.0604026845637584","0.347315436241611",NA,NA,"0.0268456375838926","1","0.1192"
"100","Cond4","0.45","0.6","0.3","5","1","0.4","2","0.313345583331703","0.377901223347692","0.0829769763130096","0.102956238964327","-0.0017951667620976","-0.00342580047985508","-0.00613085724914683","-0.00575385114898185","-0.00634630608072271","-0.00286451582149353","-0.00453266656496523","-0.0738862455775652","-0.110648987501419","-0.0616408111306556","0.0801292104065251","0.0807160453410556","0.126781251915909","0.0974187537038452","0.0804532094145307","0.0802639826470794","0.122590187765329","0.0791727624397665","0.00404345689121186","-0.00560065464141672","-0.03305744411926","-0.187294443527238","0.907051282051282","0.940705128205128","0.926282051282051","0.90224358974359","1","0.92948717948718",NA,"0.980769230769231",NA,"0.134615384615385",NA,"0.326923076923077",NA,"0.0977564102564103",NA,"1","0.1248"
"101","Cond5","0.9","0","0","5","1","0.4","2","-0.000201316869487232","0.141618827610031","0.000427340665135415","0.0509388287701294","-0.00218906090642836","-0.00729694586468251","-0.00597466349750736","-0.000368825618463365","0.00284812968048678","-0.00218906090642836","-0.0257626262970335","-0.00597466349750736","-0.000368825618463365","0.0559127437605501","0.0729349635760694","0.0674744866966345","0.119434619206306","0.0961898288872923","0.0769332270741213","0.0690403477399899","0.114346727621282","0.0836760166626973","0.0548195721504935","0.0232067129372248","-0.0425998058086969","-0.130094962943095","0.941747572815534","0.948220064724919","0.951456310679612","0.941747572815534","1",NA,"0.058252427184466","0.572815533980582",NA,NA,"0.0485436893203883","0.106796116504854",NA,NA,"0","1","0.0618"
"102","Cond6","0.9","0","0.3","5","1","0.4","2","0.000305465634426394","0.14065364291394","0.0156873817886954","0.05078205708142","-0.00630238715739685","-0.00822553655473202","0.00181319750279468","-0.00189139096945786","0.00345622803811733","-0.00630238715739685","-0.0292403964245877","0.115583181898544","-0.00189139096945786","0.0680600242832992","0.0723860657361828","0.0642953589524913","0.114318272330851","0.0776554101443568","0.0771678953619373","0.073180141228328","0.115946681527908","0.0903046909125658","0.0660600845911742","0.138186992351996","0.0142445224534619","0.162889884229506","0.949458483754513","0.967509025270758","0.942238267148014","0.96028880866426","1",NA,"0.0541516245487365","0.494584837545126",NA,"0.0613718411552347",NA,"0.0649819494584837",NA,NA,"0","1","0.0554"
"103","Cond7","0.9","0.6","0","5","1","0.4","2","0.139431264745937","0.141351345918808","-1.39800948925747e-05","0.0507418606537756","0.0105485521470633","-0.00136682498089506","-0.00559835251067466","-0.00132069806727569","-0.000473533140276601","0.03782706900882","-0.0048348495446238","-0.00559835251067466","-0.00132069806727569","-0.00933219898079095","0.0710127547306171","0.0659046195666435","0.12899476661616","0.080568072930903","0.0753371468010038","0.0732997824470422","0.117109379474611","0.082206986536698","0.0608959909637507","0.112210083739588","-0.0921385219984529","0.0203419735159919","0.932659932659933","0.962962962962963","0.902356902356902","0.962962962962963","1","0.454545454545455",NA,"0.521885521885522",NA,NA,"0.0976430976430976","0.0875420875420875",NA,NA,"0","1","0.0594"
"104","Cond8","0.9","0.6","0.3","5","1","0.4","2","0.139594079524082","0.186298477366477","0.0156648249514683","0.0550031821167371","0.00644681716231261","-0.00567401329860837","0.019789728730732","0.00644079505932057","0.00246975264242731","0.023091298657836","-0.015228286829867","1.26332268582912","1.4727089946888","0.0449019956188277","0.0731897250191881","0.0652720488165421","0.118301979925523","0.0784005187340325","0.076922925553585","0.0704941556468705","0.117492870042201","0.0817699286619313","0.0510071671046465","0.0800052537803124","-0.00683936045559614","0.0429768830909044","0.925675675675676","0.966216216216216","0.942567567567568","0.966216216216216","1","0.442567567567568",NA,"0.763513513513513",NA,"0.0574324324324324",NA,"0.118243243243243",NA,"0.0101351351351351",NA,"1","0.0592"
"105","Cond9","0.45","0","0","10","1","0.4","2","4.33643571317721e-06","0.313242594581505","-0.000103413569988223","0.103560502152844","-0.000857392325718147","-0.00890109540516181","0.000428093472124428","-0.00106703739999752","-0.00179947238212146","-0.000857392325718147","-0.0142079901634287","0.000428093472124428","-0.00106703739999752","-0.017376049214841","0.0611445692781915","0.0480082982101395","0.0852358999765638","0.0531745789197236","0.0617973017155668","0.045629190701563","0.0924079046345377","0.0489976719123515","0.010675231587707","-0.0495561725217335","0.0841430038275653","-0.0785508243267488","0.930581613508443","0.92620387742339","0.951844903064415","0.91869918699187","1",NA,"0.0694183864915572","1",NA,NA,"0.0481550969355847","0.567854909318324",NA,NA,"0","1","0.3198"
"106","Cond10","0.45","0","0.3","10","1","0.4","2","0.000452480380548213","0.3140142443581","0.0825299728276013","0.10297405681612","-0.00286615514236146","-0.0113684346259432","-0.000127282113672817","-0.00131311178217055","-0.000923574442655657","-0.00286615514236146","-0.0181017817347464","-0.00154225318768366","-0.00131311178217055","-0.0089690012340184","0.0605925726037805","0.048400041874392","0.0837094024773404","0.052682962028632","0.0613507174919532","0.0454016499108198","0.0914352339716082","0.0484824858219869","0.0125121752649503","-0.0619501935835833","0.0922934732016419","-0.0797312080585416","0.929475587703436","0.921639541892706","0.949969861362266","0.911392405063291","1",NA,"0.0705244122965642","1",NA,"0.165762507534659",NA,"0.588908981314045",NA,NA,"0.00120554550934298","1","0.3318"
"107","Cond11","0.45","0.6","0","10","1","0.4","2","0.313349011135401","0.311310930212543","-0.000286064267587637","0.103500808648854","-0.00648309622786335","-0.00352859766113622","0.00265229779832786","0.000763619003464713","-0.000991753569263624","-0.0103448487109825","-0.00566732054465149","0.00265229779832786","0.000763619003464713","-0.00958208522436121","0.0601459522469857","0.0564861925470792","0.0902194310264231","0.0524050114448036","0.0566973471573559","0.0563734240948001","0.0960087546688593","0.0485162741077505","-0.0573372764216672","-0.00199638968735852","0.0641693654745027","-0.0742054477203762","0.912290825158684","0.948066935949221","0.950375072129256","0.919215233698788","1","0.997691863819965",NA,"0.997691863819965",NA,NA,"0.0496249278707444","0.579919215233699",NA,NA,"0.0340450086555107","1","0.3466"
"108","Cond12","0.45","0.6","0.3","10","1","0.4","2","0.3131651743847","0.382859956247552","0.0821231184044104","0.102059241739731","-0.00414366836238188","-0.0123734147742759","0.000920839849814652","-0.000559045821367497","-0.00150937368391544","-0.00661578729263764","-0.0161591915952101","0.0112129186970231","-0.0108687229273421","-0.0147891916320974","0.0583381240323863","0.0556755908881476","0.0879972761674375","0.0528950759966947","0.0567138136704229","0.0541961378871579","0.0950902732928355","0.0462324588328475","-0.0278430338462995","-0.0265727399995076","0.0806047349909072","-0.125959118846214","0.927053417576106","0.932797242963814","0.948305571510626","0.905226881102814","1","0.998276852383688",NA,"1",NA,"0.155657668006893",NA,"0.609994256174612",NA,"0.145318782309018",NA,"1","0.3482"
"109","Cond13","0.9","0","0","10","1","0.4","2","5.00135814488003e-05","0.141768752106174","-0.000735501007439991","0.0506159137261228","-0.0040832423248321","-0.00149076774226028","0.00264132497932977","-0.000701264644250331","0.00233240698226797","-0.0040832423248321","-0.00525774446100714","0.00264132497932977","-0.000701264644250331","0.0460805073062272","0.0481147797763955","0.0400367605879188","0.07933139062941","0.0461058436906727","0.0534256669433884","0.0429728364651122","0.0933680345024102","0.046656705475201","0.110379538089424","0.0733345014451383","0.176936818598974","0.0119477649779932","0.966666666666667","0.955128205128205","0.964102564102564","0.947435897435897","1",NA,"0.0333333333333333","0.88974358974359",NA,NA,"0.0346153846153846","0.214102564102564",NA,NA,"0","1","0.156"
"110","Cond14","0.9","0","0.3","10","1","0.4","2","-0.000759777717958761","0.141103037134187","0.0152347586099231","0.0513960264622284","0.00241763849810484","-0.000589611021498409","0.0065061326229504","-0.000645949430068459","-0.0013470975291698","0.00241763849810484","-0.0020892924542003","0.427058464760489","-0.000645949430068459","-0.0262101493421832","0.047048960880163","0.0400483775321338","0.0809302355591637","0.0472767091446343","0.0530974449318047","0.0425115693709133","0.0922690523651219","0.0462146821381118","0.128557229288179","0.0615054089720133","0.140106064533435","-0.0224640637163095","0.963443396226415","0.955188679245283","0.961084905660377","0.943396226415094","1",NA,"0.0341981132075472","0.904481132075472",NA,"0.0436320754716981",NA,"0.222877358490566",NA,NA,"0","1","0.1696"
"111","Cond15","0.9","0.6","0","10","1","0.4","2","0.139412658448364","0.141397714405465","-0.000349480080743383","0.0508873739666183","-0.00173399916123497","-0.000932965671284182","0.0064898250135364","0.00109238669383429","0.000620650616725103","-0.00621894446506521","-0.00329908328153339","0.0064898250135364","0.00109238669383429","0.0121965542401982","0.048938308736671","0.0432862865902886","0.0852734487069512","0.0466220412115213","0.0534870917214222","0.0448762070759496","0.0959449409150198","0.0458570735414654","0.0929493295166265","0.0367303506699436","0.125144372250523","-0.0164078545292624","0.945913461538462","0.965144230769231","0.949519230769231","0.955528846153846","1","0.742788461538462",NA,"0.879807692307692",NA,NA,"0.0492788461538462","0.225961538461538",NA,NA,"0.0132211538461538","1","0.1664"
"112","Cond16","0.9","0.6","0.3","10","1","0.4","2","0.13974921641198","0.187456779563428","0.0150613937043957","0.0560123188430536","0.00773492531527769","0.00229889293853283","0.00794676312735414","0.00208037523866011","-0.00208305781682819","0.027674306568114","0.00613179460323266","0.52762468622242","0.494193623873871","-0.0371892801414796","0.0501919912008153","0.0434560016784363","0.0819138885769067","0.0443534719796702","0.0530235739752486","0.0447329443207637","0.092065020940266","0.0450061667826776","0.0564150316950816","0.0293847246181648","0.123924435034344","0.0147157544578835","0.946275946275946","0.951159951159951","0.956043956043956","0.958485958485959","1","0.772893772893773",NA,"0.978021978021978",NA,"0.0561660561660562",NA,"0.266178266178266",NA,"0.0134310134310134",NA,"1","0.1638"
"113","Cond17","0.45","0","0","30","1","0.4","2","-0.000106218765928876","0.313595561408506","0.000303916018857686","0.10330735567608","-0.0027482881044458","-0.00686559418958837","-0.000370202640325701","-0.000294488339443415","-0.00045196722113662","-0.0027482881044458","-0.0109465742415991","-0.000370202640325701","-0.000294488339443415","-0.00437497618808251","0.0354412513975617","0.0262626361582729","0.0472582751966644","0.0265539048237798","0.0351100972524749","0.0256820698473989","0.0512311579695725","0.0261964957574407","-0.00934374865526198","-0.0221061704306878","0.0840674518139942","-0.0134597554940034","0.938854739566483","0.928825622775801","0.959236493044322","0.941119378841799","1",NA,"0.0604982206405694","1",NA,NA,"0.0401164671627305","0.958589453251375",NA,NA,"0.000647039792947266","1","0.6182"
"114","Cond18","0.45","0","0.3","30","1","0.4","2","0.000534650427380476","0.314496326563681","0.0821090338469279","0.102908281949895","-0.00246749332659776","-0.00983011692894437","-0.000917510613634162","-0.000601743480975436","0.000385097680842661","-0.00246749332659776","-0.0156283493615846","-0.0111742955756201","-0.000601743480975436","0.0037421446898721","0.0368628879174005","0.026842404559414","0.047505773917394","0.0272995694946192","0.0350810613067806","0.0258021684526259","0.0508729667705282","0.0262895268785968","-0.0483365984404826","-0.0387534620635637","0.0708796547339559","-0.0369984814676809","0.931034482758621","0.927489526264905","0.956171446986787","0.935223976796648","1",NA,"0.0702545923300032","1",NA,"0.363196906219787",NA,"0.954882371898163",NA,NA,"0.0058008378988076","1","0.6206"
