,Cond.,Rho,HetInd,a.p.cs,b.s,K,Nbar,postVar,missingRate,Method,a.para,cp.para,b.para,beta1.para,a.bias,cp.bias,b.bias,ab.bias,beta1.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta1.Ebias,a.empSE,cp.empSE,b.empSE,beta1.empSE,a.meanSE,cp.meanSE,b.meanSE,beta1.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta1.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta1.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta1.power,beta1.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
35,Cond131,0.45,0,0.6,0,30,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.00690603,-0.005889792,0.002515247,0.001244765,-0.00125628,-0.011510049,-0.00981632,0.002515247,0.001244765,-0.0125628,0.025892648,0.026190741,0.053818685,0.021145477,0.027331524,0.05651818,0.021548407,0.033716846,0.053676321,0.043556708,0.050159074,0.019055136,0.955253896,0.957767722,0.945701357,0.95173454,1,1,NA,1,NA,NA,NA,0.991955757,NA,NA,NA,1,0.3978
36,Cond132,0.45,0,0.6,0.3,30,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.005450865,-0.003990744,-0.00032277,-0.001965068,-0.000277289,-0.009084774,-0.00665124,-0.001075899,-0.010917047,-0.002772891,0.02597081,0.024836207,0.046905171,0.019598747,0.025309389,0.049377334,0.019734297,0.032926982,0.038830885,0.019052125,0.052705544,0.006916232,0.954038997,0.949860724,0.948003714,0.948003714,1,1,NA,1,NA,0.999535747,NA,0.99628598,NA,0.999535747,NA,1,0.4308
37,Cond133,0.9,0,0,0,30,80,1,0.4,CSMMA,0,0.3,0,0.1,-0.00122012,-0.006531461,0.000719818,-0.000205136,-0.000667437,-0.00122012,-0.010885768,0.000719818,-0.000205136,-0.006674366,0.028913451,0.020891517,0.050504821,0.021400497,0.020970662,0.053214167,0.021522534,0.003859925,0.037803728,0.003788371,0.053645294,0.005702566,0.955860716,0.951937224,0.946051986,0.952918097,1,NA,NA,1,NA,NA,NA,0.992153016,NA,NA,NA,1,0.4078
38,Cond134,0.9,0,0,0.3,30,80,1,0.4,CSMMA,0,0.3,0.3,0.1,-0.000715972,-0.003248324,-0.00437139,-0.000520118,-0.001467497,-0.000715972,-0.005413873,-0.0145713,-0.000520118,-0.014674971,0.028494115,0.020774044,0.046747443,0.020391493,0.021066113,0.048869976,0.020924353,0.017626144,0.031403073,0.014059337,0.045404247,0.026131479,0.954608615,0.950903196,0.948124132,0.955071792,1,NA,NA,1,NA,1,NA,0.992125984,NA,NA,NA,1,0.4318
39,Cond135,0.9,0,0.6,0,30,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.007925273,-0.0079062,0.002981043,0.001554339,-0.000930598,-0.013208788,-0.013177001,0.002981043,0.001554339,-0.009305982,0.025874997,0.026005201,0.053427978,0.020881243,0.027247415,0.056424867,0.021426566,0.033606795,0.05506969,0.047767903,0.056092128,0.026115437,0.95687885,0.951232033,0.956365503,0.957905544,1,1,NA,1,NA,NA,NA,0.993839836,NA,NA,NA,1,0.3896
40,Cond136,0.9,0,0.6,0.3,30,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.006285639,-0.006265022,0.001236439,-0.001246729,-0.000303064,-0.010476065,-0.010441704,0.004121463,-0.006926272,-0.00303064,0.026291144,0.024644688,0.047978185,0.019421408,0.02524746,0.049054485,0.019706332,0.032779748,0.023206268,0.024458501,0.022433097,0.014670618,0.944852941,0.953125,0.939338235,0.947150735,1,1,NA,1,NA,1,NA,0.997242647,NA,1,NA,1,0.4352
41,Cond137,0.45,0,0,0,30,120,1,0.4,CSMMA,0,0.3,0,0.1,-0.000988689,-0.003461556,0.000139203,-0.000136663,-0.000105986,-0.000988689,-0.00576926,0.000139203,-0.000136663,-0.001059858,0.025070086,0.017114225,0.042663699,0.018198047,0.017744499,0.044101942,0.0181948,0.002732098,-0.004707112,0.036827494,0.033711157,-0.000178426,0.944657301,0.956151554,0.949340145,0.945508727,1,NA,NA,1,NA,NA,NA,0.998722861,NA,NA,NA,1,0.4698
42,Cond138,0.45,0,0,0.3,30,120,1,0.4,CSMMA,0,0.3,0.3,0.1,0.000338331,-0.003145035,-0.001401909,-0.000100811,-0.000690628,0.000338331,-0.005241725,-0.004673032,-0.000100811,-0.006906276,0.02438173,0.017769225,0.039385472,0.017980169,0.017866774,0.040697064,0.01775841,0.014819027,0.0081844,0.005489827,0.033301433,-0.012333493,0.943491816,0.945830086,0.944660951,0.945440374,1,NA,NA,1,NA,1,NA,0.998441154,NA,NA,NA,1,0.5132
43,Cond139,0.45,0,0.6,0,30,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.004227878,-0.003912565,0.001139791,0.000402922,-0.000437878,-0.007046464,-0.006520942,0.001139791,0.000402922,-0.00437878,0.022507437,0.023247293,0.045228414,0.017995686,0.022948351,0.047104662,0.018032488,0.028188302,0.016065664,-0.012859206,0.041483845,0.002045034,0.946110211,0.942463533,0.946110211,0.946920583,0.999594814,1,NA,1,NA,NA,NA,0.998379254,NA,NA,NA,1,0.4936
44,Cond140,0.45,0,0.6,0.3,30,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.003566717,-0.003102485,-0.000738868,-0.001610767,-0.000641414,-0.005944529,-0.005170808,-0.002462894,-0.008948707,-0.006414144,0.022715113,0.021281429,0.041085751,0.017191933,0.021483305,0.041409301,0.016799001,0.027617879,0.000198024,0.009486014,0.007874992,-0.022855603,0.94479205,0.946632315,0.934854619,0.942951785,1,1,NA,1,NA,1,NA,1,NA,1,NA,1,0.5434
45,Cond141,0.9,0,0,0,30,120,1,0.4,CSMMA,0,0.3,0,0.1,0.000591021,-0.003714501,-4.30E-06,-0.000179434,-0.000653786,0.000591021,-0.006190834,-4.30E-06,-0.000179434,-0.006537856,0.025182235,0.017835681,0.04385807,0.018539572,0.017682697,0.043947362,0.018053035,0.002781719,-0.008645004,-0.008577392,0.002035929,-0.026243139,0.937296417,0.945846906,0.933631922,0.94014658,1,NA,NA,1,NA,NA,NA,0.996742671,NA,NA,NA,1,0.4912
